Success!,Success!
"End User Assistance","End User Assistance"
"Log out Agent","Log out Agent"
Theme,Theme
Logos,Logos
"Merchant Portal","Merchant Portal"
"Merchant Portal Logo","Merchant Portal Logo"
"Logo image displayed in the Merchant Portal header","Logo image displayed in the Merchant Portal header"
"Merchant Portal Colors","Merchant Portal Colors"
"Merchant Portal Theme Color","Merchant Portal Theme Color"
"Primary theme color for the Merchant Portal interface","Primary theme color for the Merchant Portal interface"
